,0,1,2,3,4,5,6,7,8
1084,TSC22D3,GDAP1,CIAO1,NA,NDUFAF3,NA,POLR1E,FOSL2,NA
1085,TTC7A,WASHC3,DDX10,NA,SPAG5,METRN,C12orf43,SH2D1A,CLSPN
1086,LINC01765,CNOT7,NLE1,NA,ZCCHC9,MPP1,VDAC3,SIMC1,AL391832.2
1087,MALT1,FNIP1,MIR155HG,NA,GEMIN6,NA,RERE,CISD2,NA
1088,UEVLD,TXNRD2,GMDS,NA,GEMIN7,PDHB,HLA-DRA,MAN2B1,COQ5
1089,MITD1,PSTPIP1,SCRIB,NA,ASB2,NA,GOT2,SLFN11,NA
1090,NOL3,LRR1,NABP2,TRADD,ECD,ZNF295-AS1,FRA10AC1,JAM3,GATAD1
1091,IFIT2,XPO6,PRRG4,NA,LMLN,ZNF575,SLC27A5,NPC2,AC099850.1
1092,HIGD2A,MIER3,TMA16,NA,C1orf159,NA,SF3B4,UBXN11,NA
1093,CA5B,AC087741.1,PFN2,NA,TSEN54,NA,RPF1,ENPP4,NA
1094,DENND1B,IL2RA,BAG3,AF117829.1,GLS,ZNF827,NEFH,PLGRKT,PPCS
1095,RASGRP3,THOC2,BCR,IL18BP,MECOM,NDUFS6,TFB2M,HIST2H2BE,PRKDC
1096,NOSIP,CCDC173,ISCA1,NA,GRASP,AC093157.1,LSM12,UBE2M,LANCL2
1097,CES1,PANK3,NTMT1,NA,MRPL1,NA,SZRD1,SSX2IP,NA
1098,ZNF791,AC005670.3,TNFRSF12A,NA,CHERP,NA,IL1R2,DNAH6,ENSA
1099,DEDD2,RNF220,GOLT1B,NA,IL21R,NA,PRKAR1B,SEPTIN7,CD247
1100,LINC00324,USP7,TRIM16L,CXCR5,ZP3,TRAP1,TSR3,LPXN,TRIM7
1101,IER5,ACTR1A,COPS2,NA,SRPK1,NA,RRP1,LCP2,NA
1102,NDUFB3,TAPBPL,BRPF1,DDX17,ZNF562,MAL,FAM133B,NAP1L4,DLL3
1103,INPP4A,ZDHHC6,SLC23A2,NA,B3GNT5,NA,ATP5ME,ETV7,DUSP10
1104,RMC1,MBLAC1,TMEM18,NA,ADAL,MRPL24,ANXA7,VPS41,RNF115
1105,HIST1H1D,CEP162,PSMD13,NA,HBQ1,NA,CIAO2B,ATG13,NA
1106,GDPD5,C12orf75,RCC2,NA,ANKRD34A,TAMM41,XRCC5,PCYT1A,RNF167
1107,PARP15,TRAC,PHB,RABGAP1L,SLC5A11,RPS6,MCCC2,CXCL10,CD226
1108,CITED2,CDYL,GPX7,NA,NCBP1,HCFC1R1,MRPS27,BTRC,AGGF1
1109,SGK3,AC083862.3,WASF1,NA,EMC6,AHSA1,CEND1,PCMT1,ALG1
1110,PPM1K,DHX8,SMS,NA,VTA1,NA,PTMA,AC044849.1,NA
1111,SELENOT,CCDC25,Z93241.1,SOD2,ERLIN2,RPS3A,PGD,SEC13,BCCIP
1112,SHISA5,CDC5L,CCNC,NA,ATP2A1-AS1,NA,EED,BSDC1,NA
1113,AL356234.2,ICA1,NFAT5,NA,FBXL13,WDR6,NIPA1,NBL1,PCGF6
1114,CRIP2,ACYP2,CD200,NA,AC021851.2,NA,GTPBP4,RRM1,NA
1115,AFAP1,ACP2,CCR4,NA,MAFG-DT,GAS5,RFK,SLC39A7,NENF
1116,SUMO3,PIAS4,SCML4,NA,RNMT,NA,HERPUD1,UBE2A,NA
1117,FRYL,HCLS1,TAF9,NA,ODR4,ENTPD3-AS1,PDXP,ZW10,AC093227.1
1118,SCART1,UBE2G1,DBNDD2,RALGAPA2,PPCDC,PKM,NDUFA11,PRKACA,EIF6
1119,TMEM263,LPCAT1,CYP51A1,NA,AURKA,NA,PLA2G4C,ALG14,NA
1120,PPP2R5C,KPNA1,HSPA5,NA,ACACA,NA,CD58,SS18L2,ERH
1121,RNPEPL1,HNRNPUL1,LSM7,NA,FHL3,NA,FAH,OARD1,NA
1122,WDR44,ZCCHC10,WRN,NA,HEATR1,NA,SH2D2A,AL021155.5,NA
1123,CLTC,NBPF11,USP39,NA,CINP,NA,EXOSC4,EXO1,DEK
1124,RHEBL1,PLA2G15,CHRNE,SAMD12,FKBPL,CEP63,TRMT6,HK1,EGR2
1125,GPR174,CASP8AP2,BUD23,NA,COA6,NA,LRRC32,C15orf48,NA
1126,SMPD1,DGLUCY,FGFRL1,NA,COA8,RPL3,SPHK1,RORA,TMA7
1127,SMIM14,GIHCG,ATP6V0A2,TNRC6B,PHAX,PSMB5,CISD1,RBM18,E2F1
1128,MTCH1,PCYT2,AARSD1,NA,DIXDC1,NA,MTHFD1L,USP21,TUBA1B
1129,C3AR1,LGALS8,CHAC1,NA,TOMM20,NA,MIB2,MMS22L,NA
1130,MARCH2,GBP2,RPUSD2,AL139246.3,C3orf33,TMEM134,TAF5,FPGS,ARHGAP21
1131,FHOD1,BLOC1S6,TUBGCP4,SQOR,ASCC1,CEP170,GSPT1,CASC3,TMEM214
1132,AFF1,ING2,EIF1B,NA,UPRT,RPS26,MRPS26,HIST1H1C,ANTKMT
1133,AKT3,ROCK1,COX16,GBP1,GTF2I,GPI,AC008083.2,RASA2,UFSP1
1134,PPFIBP1,FRA10AC1,ERRFI1,NA,C2orf49,AC078785.1,BUD31,CHUK,CSNK2A3
1135,RHOF,MTO1,L3MBTL2,TTC39C-AS1,VAC14,UQCR10,ELOVL5,AL137186.1,CRTAM
1136,NRM,ZNF551,RPS15,GIMAP4,C2,OSER1-DT,ZMAT2,GSK3A,LPCAT1
1137,SMAD3,CDK9,FASTKD1,NA,ST13,NA,NA,UNC119,NA
1138,FGD3,PML,C20orf27,NA,WRAP53,NA,TMEM97,ARPC5,MRPL52
1139,TAOK3,SNHG10,RPS13,NA,THOP1,NA,AC093865.1,LMO4,NA
1140,ST6GALNAC1,GPBP1,GCSH,NA,HYPK,NA,IGFLR1,RLN2,NA
1141,ERAP1,SLC25A17,ALG5,NA,AC034102.5,NA,NA,MGAT4A,NA
1142,IKBKE,CDK11B,CBWD1,KBTBD2,FAM185A,TSPYL2,ICE1,TRMT10A,MCM2
1143,RABGAP1L,VCPKMT,NOL9,NA,DERL3,IFT43,NR6A1,RAC2,IGFLR1
1144,HRH4,POLR2M,ADAM22,FHL1,ARPC5L,EIF3H,TRIM27,IPPK,HLA-DQA2
1145,RAB27A,S100A10,H2AFX,NA,PSMA7,NA,EIF2S1,PIM1,NA
1146,LINC02384,CRIPT,AP000873.2,NA,PINX1,NA,LEO1,ACD,NA
1147,TRIM38,ASF1A,LXN,NA,RNASEH2A,UBXN11,THUMPD2,CDR2,ACADM
1148,SECTM1,ICE2,MRPL24,NA,ANTKMT,NA,FAM160B1,NCOA7,PAXX
1149,SLC66A3,KCTD17,ADRM1,NA,SMARCE1,ANKRD55,ELP3,DNA2,DCLRE1B
1150,TREML2,PFDN1,EIF2S2,HERC1,EFCAB10,WDR73,LINC00667,AC034102.4,RIN3
1151,CD2,FAM53C,PRR7,NA,SESN3,TRAV8-3,CHCHD1,PXYLP1,LIG1
1152,GALNT4,INTS13,RHEB,NA,ARMC1,RPS4X,HNRNPL,CEP152,RAD51
1153,RELL1,TXLNG,PMPCA,NA,HSF5,ITGAE,TATDN1,EIF4G1,ADI1
1154,AC006369.1,IL10RB-DT,FCF1,NEK7,GTF2F1,PLAGL1,IBTK,EPN1,RSRC1
1155,HIST1H1E,ZNRF2,NRBF2,NA,AC011447.3,COTL1,PMPCB,SRR,GLRX2
1156,NEDD4,KNL1,TNPO2,NA,SLC35A4,STAT5A,ATIC,COX17,NUBP1
1157,HMGN3,SNIP1,SACS,NA,SUCLG1,GET3,ABTB2,SAAL1,VPS25
1158,SQSTM1,FASTKD5,FAM133B,NA,FDX1,NA,ZC3H15,NRIP1,NA
1159,NR3C2,PCSK7,SRRT,NA,AGFG1,NA,PTCHD1-AS,CD274,NA
1160,ATP2A2,AKR1C3,AL391832.4,NA,ZNRF3,DHRS11,C12orf29,RAB37,CORO1C
1161,TULP3,WASHC4,MSH6,ZNF831,HPS6,APP,CLCF1,DOLPP1,TBXAS1
1162,ITGA5,YTHDF3,ENTPD7,RBL2,ACTL10,BTF3,SRRD,FKBPL,TMA16
1163,AC253572.2,NUDCD3,RPS28,NA,MCOLN1,TAF1D,RPP25,ZNF701,IVNS1ABP
1164,ITK,SMURF2,POLR1E,NA,LACTB2,NA,SAMM50,SHMT1,NA
1165,PARP10,EYA3,MFNG,NA,FUNDC2,SMIM4,DNAJC18,CLOCK,SNRPD1
1166,ZNF480,CCDC43,SNRPC,NA,RANGAP1,GYPC,PPIF,ORAI2,FAM27C
1167,RBCK1,C5orf30,MTF1,NA,PEX10,SP2-AS1,TMEM69,AAMDC,SPAG1
1168,ADRB2,CYB561D2,ABT1,NA,CCDC15-DT,PABPC1,WDR74,SGCB,BCL2L11
1169,PFKFB3,VAV1,FAM131C,NA,MLLT1,MRPS24,AHCY,LINC00659,ADSS
1170,CCDC69,STRN3,MAPK13,NA,TSSC4,NA,RPL24,OGFRL1,GLTP
1171,WDFY1,TP53INP1,KCNH4,NA,PPM1G,NA,CHCHD2,LUZP1,NA
1172,ANKRD13D,SLC12A6,LCLAT1,NA,MOK,FUOM,NAF1,XIST,RAP1B
1173,SMARCA2,PGRMC1,ZNF544,NA,CPNE7,RBM26-AS1,GEMIN5,PKD1,CFLAR
1174,ATP6AP2,SOCS2,RBM15-AS1,LPIN2,ATG4C,COX20,BDP1,GSS,ZCCHC17
1175,GALNT10,DPYD,ZMAT2,NA,SMNDC1,POLR2G,PPAT,NCBP1,SYCP2
1176,AP2B1,RHOH,MORF4L2,NA,N6AMT1,NA,ASB2,SLC26A3,EXOSC4
1177,AKNA,RNASEH2A,LRRC41,NA,KATNAL2,TRIM28,SKP2,HMGN1,SPATA33
1178,MOV10,GRSF1,UBE3A,TMEM63B,CAMKK2,RPS16,DNAJC11,ZNF430,NR6A1
1179,ARHGAP10,DCP1B,FP565260.1,BBS9,C8orf37,DEPDC5,URB2,ARID3B,KIF3B
1180,PSMC4,TRIO,MATR3,BBX,SNHG11,STAG3,DFFA,CALCOCO2,SNU13
1181,KLF8,HIVEP2,AC006449.6,NA,ANKRD16,NA,FSTL3,NKG7,HOXA10
1182,FDPS,UNC13D,MRPL17,NA,INTS11,NA,GSTA4,MCCC2,NA
1183,ODF3B,MED25,BTF3,NA,PSMA3,NA,RPL17,SPATA6,NA
1184,ORMDL3,NUDT9,MRPL2,TNFSF13B,ZNF626,BICDL1,TRMT10A,TRBJ2-3,GPX4
1185,AP3D1,NDUFS1,CHTOP,LIMD2,ENKD1,AL451165.2,LINC00910,HIST3H2A,SUPT4H1
1186,TNIP1,CCDC97,USP13,NA,SAE1,NA,BRD7,AC253572.2,NA
1187,ACAT2,TSPO,MIB2,NA,XRCC2,SRSF8,SUGT1,GPD2,SEPTIN11
1188,STK38,DHX57,EEF2KMT,NA,PPIL3,ANAPC11,HNRNPM,AKAP7,NLGN4Y
1189,SNX15,TMEM250,MAP3K8,NA,FMC1,AAMP,RBM38,SBF1,GAR1
1190,RTL8C,NARF,FKBP1C,NA,EXOSC6,PPIL3,ATF4,TRIM56,ARPC5L
1191,VCP,FAM185A,KCNK12,NA,AGAP5,NA,AC119673.2,SPSB2,CARMIL3
1192,FAM214B,ANKRD10,ECD,NA,ZGRF1,CHID1,ECE1,IFNG,TMEM175
1193,LYRM1,FAM104B,SSR3,NA,TOPBP1,NA,NA,TPRKB,NA
1194,AL050309.1,MTERF1,SIPA1L2,NA,SMG6,FBLN7,IKZF4,KHDC4,OGFRL1
1195,SOS2,PAN3,ENO1,NA,NADK,TRBV6-6,CAMKK2,PLB1,NDUFB6
1196,CTDSP2,GMNN,PABPC4,NA,MLH3,RPL4,ANKRD33B,HACD3,TRGV9
1197,DNAJB14,SP110,AC009403.1,NA,FOXP1,NA,CLNK,ELOVL4,NA
1198,UBXN4,NF2,PRPS2,NA,IMMP1L,NA,HSP90B1,NFATC3,KLF7
1199,PCNX1,CARD17,NAA20,NA,UCHL5,NA,NA,FADS1,NA
1200,PARVG,TMEM68,AC040169.1,PLEKHG5,AZIN1-AS1,FAIM,IWS1,MPDU1,RGCC
1201,TFPT,POLR2J,PAK3,AC006369.1,ABCF1,MSRA,FAS,ARRDC2,ALG6
1202,TSPAN14,WDR70,GTF2H4,GNG2,ZNF667-AS1,DYNC2LI1,HRAS,SKAP2,RAB8A
1203,CELF2,SUDS3,ANKRD31,NA,PDCD2,NA,DNAJC17,HMGN2,NA
1204,GABARAPL2,PACS2,CYTH3,NA,FAF2,NA,AC008083.3,MCM5,NA
1205,FOSB,DIPK2A,ZNF496,NA,ANKRD13B,NA,DNAJC7,INTS13,MSC
1206,TTC39B,LAIR2,POLR1C,NA,CTH,NA,ARFRP1,ST6GAL1,NA
1207,DIAPH1,AC090152.1,JSRP1,AC016074.2,LIPT2,CLYBL,JPT2,BBS7,TMEM107
1208,NLRC5,C4orf3,PKD1,NA,SUB1,ZMYM3,HADHB,C8orf76,EDDM13
1209,ARF4,LETMD1,TRMT1,NA,FAM102A,ITFG2-AS1,JMJD8,VCL,BSG
1210,PRR29-AS1,TMTC2,EVI2A,TMEM50B,SIN3B,RAD50,NRROS,LRRFIP1,HCFC1R1
1211,TCEA2,MXD4,OPA1,AC004241.1,RPL27A,AC100810.1,RELB,NDUFB7,MRPS17
1212,SDF2,CEP63,AC084262.1,NA,SLC17A9,PYCR3,ENTPD6,TRNAU1AP,SATB2
1213,PHTF1,TBCA,SNRPD3,SYNGR2,TRAF3IP1,NSA2,EIF3H,HDAC10,BLOC1S6
1214,SLC25A43,TMEM11,CBWD5,NA,AMIGO1,LAGE3,VAPA,YKT6,AP003472.2
1215,RAB6A,UPF3B,PSMB5,NA,NDUFV1,NA,GRPEL1,GMPR2,NA
1216,RIPK2,OTUD7B,PKN3,NA,ZNRD1,NA,TOMM40,CD3D,NA
1217,CD68,CNTLN,SHF,NA,SLC39A7,NA,FUS,PLEKHO1,NA
1218,PJA2,GFOD2,DHRS3,COMMD6,ZC3HAV1L,TOMM34,MRM1,NRP1,CDC25A
1219,IL5,BAHD1,PSMG4,NA,IL17D,RPL19,MICAL3,TLN1,CBLB
1220,FMNL1,DGKZ,GEMIN7,NA,CCNB1IP1,PSD,ATP1A1,LAMTOR1,EPS8L1
1221,TMEM230,YTHDF2,KLF16,NA,IQCB1,SLC25A39,NAA35,NUP214,DMAC1
1222,PTPN12,TRIM4,RPL37,NA,BCL2L12,NA,TNPO3,ATP6V1G2,MIR222HG
1223,DENND2D,TNFRSF11A,AC012645.3,TRAF4,RFWD3,APBA2,MIIP,DDX52,NFKBID
1224,ZNHIT1,TSPYL1,RPL27,NA,AC010761.1,NA,HDAC2,TMEM230,NA
1225,CXCL11,MMS19,IVD,NA,NDUFAF6,LINC00894,CHMP4B,TNPO3,EEF1AKMT4
1226,MT-ND5,CC2D1B,DERPC,DOCK9,ZNF584,NPAS2,PIGU,AL031727.2,ARMC10
1227,MAP3K4,LINC00476,MAT2A,NA,ARRDC1-AS1,NA,LMCD1,C1GALT1,C8G
1228,SMAGP,XPR1,MIR31HG,NA,MRPL50,NA,UMPS,SLC25A20,PET100
1229,SIK3,PRC1,MCRIP1,AGO4,SLAMF7,SHMT2,YARS2,TRAM2,GINS4
1230,SATB1-AS1,SRSF7,AL137060.3,NA,NUDT1,NA,LARP4,HSPA14.1,NA
1231,HELB,PEF1,ARL16,MR1,SMC1B,RNH1,CHID1,SHC1,CENPW
1232,MSC-AS1,SLC37A3,PUM1,NA,TRIM28,NA,COA4,IL23R,NA
1233,SAMD3,RECK,MRPS26,NA,CCDC152,NA,ANP32A,BAG3,NA
1234,FAM89B,SVIP,AKAP11,NA,NDUFS8,NA,GMNN,THEMIS,TIMELESS
1235,LAP3,GLYR1,TCTN1,NA,PTRH1,NA,AC103591.3,CMAS,ABI3
1236,IL9,HLA-C,ANKS6,AFAP1,MLXIP,NUP214,ATL2,CXCL16,ATP5F1E
1237,RHNO1,PLCL2,GTF3C4,NA,NSFL1C,SARAF,C2CD4D,GOLGA5,GTF2H5
1238,KLHL36,TMEM165,COA4,NA,KPNA2,NA,POLR3H,SRGAP2C,NA
1239,STX2,SS18,SGPL1,NA,UBE2I,EIF1B-AS1,PEBP1,C6orf120,SFMBT2
1240,PRRC2C,CCR6,MAGOH,AC025164.1,PIGO,REX1BD,PXDC1,AC023157.3,LINC02365
1241,CDC25B,KIAA0232,PARD6B,NA,DPP7,NA,NA,RAD1,NA
1242,IQGAP2,NT5DC1,TYW3,NA,KLHL8,NA,MPLKIP,PLEKHF1,RRN3
1243,MAGI3,PNMA5,METAP2,NA,HPCAL1,NA,HDGF,DLEU2,NA
1244,WASHC4,BEX2,CXCR3,NA,SNHG6,MAPKAPK5-AS1,CHST7,FAM126B,CCL4
1245,AC091271.1,MMP25-AS1,CNOT9,CPQ,SNX18,TARBP1,TIPRL,RESF1,GALNT3
1246,JMJD6,TENT5C,ATP5F1B,NA,STAT5A,HMGN2,RPRD1A,STX7,LINC00470
1247,N4BP2,PRH1,ESF1,NA,SAP18,NA,DDOST,SPAG5,NA
1248,C8orf88,FAM160A2,ARIH2,NA,CDCA5,TMPO,UBE3D,SRGAP2,ZNF683
1249,RSRP1,CDK5RAP3,ZNF704,NA,MYB,ISCU,RPL35,RAB43,FBXL6
1250,ETV3,ELP3,NUTM2B-AS1,NA,PSMD11,NA,LRPPRC,HYI,NA
1251,PLCD1,GIN1,TNPO1,NA,OTUD6B,NA,NUP160,PREB,ZNF35
1252,KLF12,BTRC,ERFL,NA,RBMX,NA,APRT,FIGNL1,ADAP1
1253,GLO1,PPP2R2B,WDR83,NA,RPL23A,COPRS,PRRC2B,DNAI2,ZNF85
1254,RAB18,ZNF80,SPG21,NA,DMC1,TRAT1,ZNRD2,RNF11,ORC6
1255,SLC9A3R1,Z99127.4,GNAO1,NA,ZNF579,EIF2B3,SRPK1,FAM174A,QPCTL
1256,PNPLA8,TMEM64,BBS7,NA,PRKAG2-AS1,ILF3-DT,SLC30A6,THY1,MAP4K3-DT
1257,CSGALNACT2,SGF29,MSH2,GPSM3,FAM217B,THRAP3,CCNQ,CHMP1A,UBE2G2
1258,HSD17B11,GADD45A,BYSL,NA,AL672277.1,NA,CD80,CAB39,SNRPB
1259,TIFA,MLH3,AP003472.2,NA,NDC1,NA,AKR1A1,PLAC8,NA
1260,GPR108,ECPAS,SLC25A32,NA,IGF1R,NA,GORASP2,ADAM8,NA
1261,GIMAP8,AC005037.1,KNOP1,NA,SMIM8,SNPH,SKP1,GPR180,MRPL55
1262,SYNE1,PDE4A,CTU2,NA,MESP1,NFIL3,MRPL32,CTDSPL2,AL358777.1
1263,FERMT2,ZCCHC2,ACP1,NA,WASF1,NA,NOL6,NCAPH2,MTHFD1L
1264,RB1,C2orf49,WRNIP1,NA,CEP72,MT-ND3,UQCRQ,JAKMIP2,ALDH6A1
1265,AC116366.1,HERC5,MNT,TUBB2A,SNX27,NMT2,CD151,DNM1L,POLA1
1266,CCDC82,LINC01003,RRP7A,NA,PTPN6,NA,NA,SHKBP1,NA
1267,LINC02591,POLG2,CFAP36,NA,NELFCD,NA,CHD1,VASP,NA
1268,TANC1,TRAF3IP2-AS1,PDAP1,NA,DEPDC7,TMEM53,U2AF2,KAT2B,RAMP1
1269,ARL6IP6,RAB5B,ZNF286A,NA,SLC16A6,APPL2,MCAT,CD96,SPHK1
1270,EEPD1,CUTA,CDK12,PACRGL,C21orf58,MAML2,NGRN,HDAC4,ABCC5
1271,THEMIS2,SMNDC1,CNN3,IFI44L,KIAA0895,ASPSCR1,RPAIN,FAF1,ABHD10
1272,CYB5B,SLC35E1,HDAC7,ZC3H6,LINC02610,SDK1,RPUSD1,PPP2R5C,FAM49A
1273,PFDN1,PIM1,PTRH2,NA,HSD17B10,NA,POLR1D,GIMAP5,NA
1274,CXorf38,PTPN9,RBBP5,RPL34,SLC25A22,NDUFS3,PSMD6,NR3C2,LINC02802
1275,DAD1,GRK2,SLC25A37,NA,GALNT18,NA,ARMC10,ANAPC11,NA
1276,WWC3,RASGEF1B,EIF2B3,NA,EPB41L4A-AS1,NA,ANAPC11,ILRUN,CD2
1277,DGKA,NIPSNAP2,HDHD5,GBP5,BRAT1,MRPL48,ZNF580,IQSEC1,NAA20
1278,RNF207,LMO7,NHSL2,NECAP2,DTWD2,ATRAID,MORN2,ACSL5,GINS1
1279,P2RX4,SMC3,AMIGO2,NA,EIF2B2,NA,TFRC,RHEBL1,NA
1280,TPBG,CSTB,TOE1,DPP4,ATRAID,CFAP298,SNRPB2,GPN1,ATP5PF
1281,TNK2,CEP85,PACRGL,NA,RFESD,NA,RNF126,RIMKLA,GTF2F2
1282,SGCB,MALAT1,PMEPA1,NA,TRBV6-5,AL672277.1,CTNNAL1,USP33,COX8A
1283,STX1A,CYSTM1,PPP1R37,NA,AC073046.1,NA,DDHD1,BPGM,NA
1284,UBXN10-AS1,ZNF821,NOP14,NA,PFAS,NA,GTF3A,MRPS14,NA
1285,CLU,KPNA6,C1orf131,NA,TASOR2,FBXO32,FLVCR2,CROT,ZBTB37
1286,FAM111A,HIST1H2BK,SLC12A2,NME3,SLC12A9-AS1,THAP11,GEMIN2,GSDMB,HOXB7
1287,IL17A,DEDD,GEMIN6,NA,GRHPR,PLEKHJ1,DMGDH,DGAT1,SLC27A2
1288,SEC13,AP000787.1,MMAB,XAF1,AP001628.1,C22orf39,AVEN,ZNF358,COA1
1289,METTL9,STAMBPL1,PRPF40B,C5orf17,UPF1,DDB2,EXOSC5,MAP3K1,LINC01063
1290,HSD17B4,INTS3,RPS6,NA,SOD1,NA,IL10,PPP5C,NA
1291,MIDN,MGAT4B,SFPQ,NA,TSR2,MRPS21,ACSL4,TMPO-AS1,AL096794.1
1292,HERC3,MED8,MYO9A,NA,RNH1,TRBC2,CTLA4,ZNF43,PSMG3
1293,GNG10,CALCOCO2,MANF,NA,CLPTM1L,TXK,C19orf48,PSIP1,LYN
1294,RAB8A,ZNF33B,MCCC2,NA,RIDA,NA,SNRNP40,TESPA1,NA
1295,COPG1,NSL1,MRPL35,RIPK2,FIZ1,NDUFAB1,LETM1,CAMK2N1,HIBADH
1296,TM9SF2,MPC2,PHF6,NA,AC002310.1,NA,NIFK,SNX14,NA
1297,MARK2,RSBN1L,ANKRD11,NA,PARK7,NELFCD,PLAA,DYNLRB2,CTSD
1298,KDELR2,CHP1,FADS1,TLR1,RUSC1-AS1,DNMT3A,SAFB2,AP000926.2,AC073046.4
1299,SLC9A9,ITFG2,SRP54,DNAJC5B,MINDY4,KRTCAP3,GLA,DLD,PSMB7
1300,SNX3,HSPA1A,RPS23,SMAP2,SLC19A2,PDE4DIP,MTHFD1,FOXJ2,DUT
1301,ATP2B1-AS1,LZTS2,CWC22,UBE2L6,MAPK13,UQCRC2,YTHDF2,INSYN2B,SLA
1302,ARID2,TERF1,PITPNA-AS1,NA,SAFB,NA,BTBD19,AC015871.1,TMEM121
1303,SH3BP1,WBP1,GPR18,NA,TRMT10C,NA,USP16,PSMC3IP,NA
1304,IER3IP1,ZNF274,MDH2,BCL2,TGDS,DAZAP1,UTP23,CHAMP1,ZNF441
1305,RAB29,CHEK2,AL121787.1,TOMM7,LINC01715,HAR1A,AKT2,CIB2,MED4
1306,CASP7,USP18,MAFK,RASGRP1,AC016876.1,CDK4,ZNF143,ABCA2,SRPK2
1307,FRMD4A,BRAF,SRGN,NA,CDKN2AIPNL,NA,NA,GNG5,NA
1308,LMF2,MCPH1,GARNL3,BTBD11,GPAM,AL022345.4,MEMO1,NOSIP,RNFT1
1309,HDAC1,PBXIP1,NRARP,NA,EPS8L2,TMEM9,CCDC84,AL590560.3,CCL18
1310,RIPK1,NCOA6,TADA2A,PFDN5,RHOBTB3,RPL21,ZNF749,HSD17B11,AC000065.1
1311,MRPS36,TRIM73,FKBP11,NA,AL118558.3,NA,EXOSC7,RNF24,NA
1312,ARAP2,IFRD1,RPL22,NA,OAT,FADD,ZFP91,OIP5-AS1,SH3BGRL3
1313,B3GNT8,FAM117A,SLC35B1,NA,CARMIL2,TSEN54,SAYSD1,IDI1,FEN1
1314,TAB2,PHF14,FAM117B,GAS5,ZNF598,CIZ1,CSTF2,SETX,GPR18
1315,YES1,PPP1R10,PAK1IP1,NA,FKBP7,NA,ACTR5,ZNF84-DT,NA
1316,RAC1,BLOC1S4,NELFCD,NA,CBWD1,NA,CCDC124,PFDN1,NA
1317,APOBEC3F,ABI3,TBL2,NA,TMEM109,NA,DENR,TK1,CCDC144A
1318,COLQ,AC008555.4,HNRNPH3,TRIQK,ETFA,ATP5MPL,GNL3L,AC092164.1,PRC1
1319,ROCK1,PPM1K,ZRANB3,NA,NMB,MT1X,JUNB,CLIC5,UPP1
1320,LILRB3,FAR1,UIMC1,NA,ZNF324,MRPS18B,YARS,AL135905.2,MRPL27
1321,AKT1,CELF1,ZNF219,NA,ZWINT,NA,ZNF511,C19orf48,NA
1322,RNF167,CPSF6,RECQL4,RETREG1,DEPDC4,RPL36A,TNFRSF6B,PRKCSH,ACSL3
1323,PLGRKT,FUNDC1,NLGN2,NA,XPO1,NA,NAA25,SMYD4,NA
1324,NDUFB1,ZDHHC23,DANCR,NA,TSEN2,NA,ENO1,UFD1,NA
1325,CDK6,FOXK1,GID8,NA,NME6,RPL34,ACACA,SNX4,ABCE1
1326,UBA6,FBXL4,ZFP36L2,MKRN1,MICU3,TBC1D17,PAAF1,DERL3,MT1X
1327,PRKD2,ANTKMT,SIKE1,CYB561D2.1,UHRF1BP1,PASK,MRPL57,RPUSD1,RBBP8
1328,HADHA,ACAP1,HES6,MIRLET7BHG,RIC8A,NAV1,GRK6,GJB2,CPSF2
1329,TMC8,UBE2L6,PRMT3,NA,EMG1,NA,RYR1,PSMG2,NA
1330,UBE2J1,AC008083.3,ACLY,NA,TWNK,PITPNA-AS1,DDX21,HNRNPUL1,ATP5MPL
1331,KIAA0355,ANKRD16,AC112721.2,NA,B9D1,NA,MCM3AP,CAPN1,NA
1332,SNX30,AL353807.5,NFKBIA,NA,ELP2,NA,CSNK2A1,HIST1H2AL,GTDC1
1333,EPB41L2,IQSEC1,TET3,IFNGR2,ZNF502,ANKZF1,ZBTB44,EXOSC10,KLF1
1334,SMAD7,NAA80,DARS2,NA,FCF1,ISY1,UQCC3,ARHGAP10,IER3IP1
1335,LTK,FAM50B,GET3,NA,TMEM52,NA,DAP3,GJB6,NA
1336,DOCK11,NPRL2,IFT57,CCND3,SMAD1,PLEKHB1,HLA-DRB1,AC017083.1,ZKSCAN7
1337,SEC31A,MHENCR,MRPL27,TMIGD2,TRIM16L,MAGEE1,TSN,ADPGK,MED11
1338,DENND6B,IFIT3,IL10RB-DT,MSRB2,VPS52,RACK1,APTX,RBBP4,CBX3
1339,SLFN12L,RHOT2,SLAMF7,NA,ELK1,NA,EIF4E,ACSL3,TBCEL
1340,EGLN2,LINC01358,ZFYVE9,NA,PRICKLE4,RSL1D1,LRFN4,TUBB4B,NDUFA2
1341,CCDC88C,TM7SF3,EIF4ENIF1,PTMS,SRP19,CRIPT,HEXIM1,ZDHHC24,CDC5L
1342,MAPRE1,THAP1,UBE2N,EEF1B2,KAT14,NOP53,THAP12,SLC25A10,PABPC1
1343,GABBR1,SPG21,RPS9,NA,IRAK1BP1,NA,METTL1,AF213884.3,RANBP1
1344,B3GALT4,C8orf58,GNPNAT1,NA,ENO1,NA,NA,ZNF382,NA
1345,ARF5,ARL6IP5,BTF3L4,NA,ZNF257,CNOT11,NMB,PLEKHA5,ACTA2
1346,MAP3K5,TAF12,PRADC1,NA,RBM25,NA,RRS1,VAMP5,IRF4
1347,DTD1,PKD1,CKB,NA,AC006329.1,NA,NA,NSD2,NA
