,0,1,2,3,4,5,6,7,8
66,CEACAM1,ZNF428,ACSL6,NA,MALSU1,NA,LINC01588,CEP76,NA
67,CCND3,TMCO4,MAML2,NA,TRIT1,NA,REL,CDCA8,NA
68,CRIP1,BCL6,DMAC2L,NA,TRMT61A,NA,MTDH,E2F7,NA
69,OSTF1,WAC-AS1,PUS7,NA,TBPL1,NA,LFNG,TRIP4,NA
70,CCR2,CNOT2,TTC4,NA,C8orf33,NA,MAPK1IP1L,FANCM,NA
71,CD63,RSAD1,QTRT2,NA,EIF3H,LTBP3,ADSS,MCF2L2,SPTSSA
72,FOS,NCAPD3,KPNA6,NA,NUP54,RPUSD4,PABPC1L,SEC24D,VASP
73,IL32,MED23,ZDHHC9,NA,TRIAP1,NA,NA,FOS,NA
74,GPR65,ATG4A,TSNARE1,NA,RARS,NA,SYNCRIP,PPP2CB,NA
75,PDE4D,MIS18A,NOL11,NA,FKBP1A,NA,DPM1,MTMR6,NA
76,TUBA4A,CD63,XRCC3,TMC1,DGUOK-AS1,SNAPC5,MDN1,DAP,IMMP1L
77,TPT1,BCDIN3D,AC034228.2,NA,SMIM10L1,NA,GFER,SLC39A8,NA
78,APOBEC3G,REST,CD81,NA,SULT1A3,NA,EIF3G,MPC2,DUSP23
79,IFI44L,SGMS1,IPO11,NA,CIAO1,NA,DCAF12,PGK1,NA
80,MAL,TSPYL4,POLR2K,NA,RPL18A,NA,KARS,ELOVL6,NA
81,VAMP8,WASL,YARS,NA,RPL7A,NA,FABP5,BLVRA,NA
82,BST2,SMIM13,MRPL36,NA,MRPS18A,NA,PRMT1,BAZ2B,NA
83,CDK2AP2,FAM104A,TRAV41,NA,PRIM2,RPS17,GPR183,CRYBG1,DANCR
84,ARPC1B,ZNF738,ARHGEF2,NA,PRPF38A,NA,RPL4,RAB8A,NA
85,IFI44,FOXRED1,MTX2,NA,PSMC3,NA,CCT5,AC011476.3,NA
86,ITGB7,CPT2,P3H1,NA,MICOS13,NA,NA,AHSA1,NA
87,MIR22HG,ARHGEF18,SLC25A39,NA,TMEM120B,NA,SLC25A3,HELQ,AC007384.1
88,ARPC3,GBP3,AC002454.1,NA,SUV39H2,NA,NA,CEP128,NA
89,FXYD5,NAPG,SMYD5,NA,SPR,TMEM238,PHF5A,CENPS,PPA1
90,KLF6,FNTA,RPS3A,NA,CENPH,NA,NA,PSMC1,NA
91,CKLF,HSPA14.1,TMEM150A,NA,CLUAP1,NENF,RAB5IF,RIOK3,TIPIN
92,GZMA,TLE4,WDR18,NA,MBNL3,NA,NKIRAS2,HIST1H2BF,NA
93,PDE4B,PEX2,GTDC1,NA,MMADHC,NA,PPAN,CETN3,NA
94,PDIA3,HLA-DQB1,SERBP1,NA,GTPBP8,NA,GCNT1,TMEM14A,NA
95,RBMS1,MTFR1L,SCAF4,NA,ING2,NA,RPS2,DXO,NA
96,EML4,MED31,ISG20L2,NA,SNF8,NA,DDB1,LETMD1,RPS6KA3
97,NKG7,AP5S1,HPDL,NA,AL009179.2,NA,SIGMAR1,DCAF7,NA
98,GBP4,TRMT61B,PITPNA,NA,RAD18,NA,MPHOSPH6,ACOT7,SAE1
